formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0079939284797377,0.4500152499387216,0.0,0.0001228059782487,0.5418680156032918,31.32675648888411,0.0002973915053777,0.0076965369743599
B,0.1013418190296785,0.896542270790014,0.0021159101803072,0.0,0.0,23.698756512145387,0.0,0.1013418190296785
C,0.0303819948149948,0.9689873954599276,0.0,0.0,0.0006306097250777,26.46285308870064,0.0005513441878203,0.0298306506271744
D,0.0094005599264126,0.6804938121059457,0.0,0.0,0.3101056279676417,57.45274474018278,0.0002825586045517,0.0091180013218609
E,0.0,0.9988243467781662,0.0,0.0,0.0011756532218337,0.47816243206869247,0.0,0.0
F,0.0079020476154529,0.8988906857849861,0.0250920272490677,0.0010786929010952,0.0670365464493982,38.81390170427433,0.0,0.0079020476154529
G,0.0004692321357356,0.9984667033338362,0.0,0.0,0.001064064530428,40.47941621966401,0.0,0.0004692321357356
H,0.0031603261437964,0.921958324524646,0.0,0.0,0.0747928863059863,21.296266178780492,0.0,0.0031603261437964
I,0.0033763845403364,0.36538754992275,0.0,0.0003790652808291,0.6308570002560844,62.33594092415704,0.0006520493804535,0.0027243351598828
J,0.003353181852915,0.6261790192895973,0.0004109078441176,0.0921709720912263,0.2778859189221437,80.29164876359478,0.0024054932933665,0.0009476885595484
K,0.0289427438158472,0.5858844707754923,0.0236112508903852,8.192374515504857e-05,0.3614796107731202,46.72354269453972,0.0010584238974408,0.0278843199184063
L,0.0082667019286898,0.5047031919526922,0.0,0.0001557178374691,0.4868743882811487,29.358961084904262,0.0003049426446818,0.007961759284008
M,0.0060020463102815,0.4474275204880862,0.0,7.808058366296668e-05,0.5464923526179695,30.732480955230592,0.0002367048211916,0.0057653414890899
N,0.0060791570389665,0.4583085071940646,0.0045470936553988,0.0018047574589393,0.5292604846526304,32.26249320168091,0.0001620937724337,0.0059170632665327
O,0.0085992538230321,0.4497530660223106,0.0,0.0001228579513449,0.5415248222033124,30.92710968449729,0.0002974506073878,0.0083018032156442
P,0.0210836720059508,0.4874643065191003,0.0,0.0001611912514823,0.4912908302234667,60.02181405196856,0.0002045803424388,0.020879091663512
Q,0.0968108959150442,0.7259000639099975,0.0,4.821515778007404e-05,0.1772408250171782,169.10129239430051,8.333841169982989e-05,0.0967275575033444
R,0.0065406651909876,0.4564540022611362,0.0,9.337328260844144e-05,0.5369119592652678,31.78253985007218,0.0005642790203507,0.0059763861706368
S,0.0072888535303091,0.3799063640228987,0.0,0.000386243420035,0.6124185390267572,27.918588397002623,0.0002057164384654,0.0070831370918436
T,0.0072298863512739,0.6816903383193033,0.0,8.61123271668286e-05,0.310993663002256,24.020747636554965,5.9888485195727204e-12,0.0072298863452851
