formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0057162325549583,0.2532978509938355,0.0,0.000236101841036,0.7407498146101699,37.97173523019278,0.0001386197026383,0.00557761285232
B,0.0688062087955639,0.9304291293078316,0.0007646618966045,0.0,0.0,30.225888737395344,0.0,0.0688062087955639
C,0.0189623843239908,0.9806391830286866,0.0,0.0,0.0003984326473227,32.17958527464262,0.0004736405715738,0.0184887437524169
D,0.0071628378492837,0.4850785607788437,0.0,0.0,0.5077585663199097,56.732545950034805,0.0001641303707362,0.0069987074785474
E,0.0,0.9637104573769508,0.0,0.0,0.0362895426230491,0.423661379206608,0.0,0.0
F,0.0099059795317466,0.8783091296452563,0.0331976505116289,0.0002972385430318,0.0782900017683363,56.49388534552861,0.0,0.0099059795317466
G,0.0002040588389516,0.9979000647024656,0.0,0.0,0.0018958764585827,61.841972193394845,0.0,0.0002040588389516
H,0.0065162925118802,0.9002207595763634,0.0,0.0,0.0931869643550845,17.24836101984387,0.0,0.0065162925118802
I,0.0022451787842274,0.2169555707957032,0.0,0.0026904368843029,0.7781088135357664,75.31378648147398,0.000447848501694,0.0017973302825334
J,0.003825366663293,0.5744060181045353,0.00089097210695,0.0946817302476801,0.3261959128775416,75.69119720539881,0.0026632425121018,0.0011621241511911
K,0.0427255680009464,0.5120751445237077,0.032676360977168,0.0001314429870074,0.4123914835111703,67.86299463496277,0.000960532670805,0.0417650353301414
L,0.0059031040572006,0.2945243460536841,0.0,0.0004205794918804,0.6991519703972345,34.04884556225352,0.0001379288530223,0.0057651752041783
M,0.0044769714252636,0.2498413042195101,0.0,6.352182143392491e-05,0.7456182025337923,37.026349384239595,0.0001371705517766,0.004339800873487
N,0.0046324063348023,0.2573455477423116,0.0038745912122385,0.0018737730517061,0.7322736816589414,38.78100198263416,9.763897537207598e-05,0.0045347673594302
O,0.0058747001036309,0.253183868912157,0.0,0.000236261242238,0.740705169741974,37.473916312673545,0.0001390023210749,0.0057356977825559
P,0.0164105406988201,0.2938238584757759,0.0,0.0003773098679566,0.6893882909574476,71.04270722137267,0.0001194655645873,0.0162910751342328
Q,0.0946036194656402,0.6119492743155377,0.0,8.122765135462429e-05,0.2933658785674673,175.19970991210818,5.116863403368384e-05,0.0945524508316066
R,0.0048800456333314,0.2643678622931297,0.0,0.0001864000516249,0.7305656920219138,38.01505106726763,0.000288354449458,0.0045916911838734
S,0.0040549460489829,0.2482117462168999,0.0,0.0007656127312742,0.746967563236907,35.81111903023323,0.0001028166825162,0.0039521293664667
T,0.0081695351782264,0.7282278286952492,0.0,8.078179162542363e-05,0.263521854334899,34.95295481008747,6.318346866237297e-06,0.0081632168313601
