formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0188450020031239,0.4678328400466515,0.0,2.042450280322614e-05,0.5133017334474209,33.150097902198965,0.0005091459877767,0.0183358560153472
B,0.2555818584358977,0.7431824915264945,0.0012356500376078,0.0,0.0,20.341932609586962,0.0,0.2555818584358977
C,0.0882071650664239,0.908913831123804,0.0,0.0,0.0028790038097722,16.99510109929269,9.872307405303652e-06,0.0881972927590186
D,0.0166812058436757,0.6820394812210022,0.0,0.0,0.301277591755452,44.06426512529939,0.0003842535711165,0.0162969522725591
E,0.0,0.8655727989173814,0.0,0.0,0.1344272010826187,1.416211097165314,0.0,0.0
F,0.0063393104188874,0.8984984180461759,0.0158442475782521,5.53703424861649e-05,0.0792626536141983,45.898576597808585,0.0,0.0063393104188874
G,0.0009057622643132,0.9726189842265256,0.0,0.0,0.0264752535091609,52.67572461306678,0.0,0.0009057622643132
H,0.0266276133851833,0.909319570802331,0.0,0.0,0.064050614460749,33.38153286191921,0.0,0.0266276133851833
I,0.0042994239342143,0.2228917151077456,0.0,0.0225582244205557,0.7502506365374845,143.10066518155992,0.0011019860849135,0.0031974378493008
J,0.0063304714963642,0.4103525575946916,0.0018625729703828,0.1185260430929386,0.4629283548456224,270.76260505287263,0.0030932830879419,0.0032371884084222
K,0.0189336565772557,0.5698747560315387,0.0158837651126141,1.5728683872559848e-05,0.3952920935947187,42.83063835373082,0.0024648170002612,0.0164688395769945
L,0.018681288874268,0.4913164114336388,0.0,4.001103401250678e-06,0.4899982985886918,27.113205358504896,0.0005058473755723,0.0181754414986957
M,0.0232523493512406,0.4975790620211706,0.0,3.4537189768832774e-05,0.4791340514378198,31.04461561833518,0.0008270673781783,0.0224252819730622
N,0.01631229612735,0.4429531657515694,0.0129615829534316,0.0129338455680092,0.51483910959964,36.274827261898686,0.0006041799262602,0.0157081162010897
O,0.0178467738336658,0.4663001673770027,0.0,2.046941824625391e-05,0.5158325893710849,32.66411328422145,0.0005177278552882,0.0173290459783775
P,0.0406636969677094,0.5363304791398614,0.0,2.6949632560918748e-05,0.422978874259868,58.73653212696895,0.0005894580370173,0.040074238930692
Q,0.1489313630616747,0.7233062457678086,0.0,2.25914263785853e-06,0.1277601320278787,157.90335415464168,0.0002317560833334,0.1486996069783412
R,0.0152386160013348,0.470463592937242,0.0,5.7229327230787006e-05,0.5142405617341925,33.37335052795903,0.0007321077843898,0.0145065082169449
S,0.0119158581699313,0.4526411231601347,0.0,6.123992462450935e-05,0.5353746864299598,29.98813011031014,0.0005426088802973,0.0113732492896339
T,0.0165431827083039,0.3843099957519322,0.0,0.0003659102658506,0.5987809112739132,32.83119339945279,0.000147425369735,0.0163957573385689
