formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0307350857253063,0.4141283523246231,0.462821782934686,0.0738303556889193,0.0184844233264653,466.66810340239186,0.0,0.0307350857253063
B,0.0654686423310716,0.6205799606099764,0.268511875063127,0.0453815897417736,0.0,379.49775814124916,0.0,0.0654686423310716
C,0.0625450875850596,0.4334207658293096,0.4372036115495788,0.0668305350360511,0.0,371.91690738418754,0.0,0.0625450875850596
D,0.0351783190995077,0.2224403782478469,0.6660074947044384,0.072858947903066,0.0035148600451408,430.6132584347488,0.0,0.0351783190995077
E,0.0312883359812672,0.4141357373954215,0.4641114560765433,0.0740167986970123,0.0164476718497544,462.0905575021294,0.0,0.0312883359812672
F,0.0208434082374839,0.6002898757638778,0.321682529185705,0.046710974697568,0.0104732121153653,738.9943512182147,0.0003864695320862,0.0204569387053976
G,0.0175979736665093,0.1380033129305575,0.8385834432524856,0.0057950963422086,2.0173808240203618e-05,256.3541838208408,0.0,0.0175979736665093
H,0.0379275816999268,0.3559824091043411,0.5333471373835387,0.0689244476771868,0.0038184241350054,405.32715997927727,0.0,0.0379275816999268
I,0.0234780156430014,0.4552421421504636,0.3619673693687501,0.0842080459067176,0.0751044269310671,600.0795105652991,0.0,0.0234780156430014
J,0.0059498548206296,0.1885671031750147,0.5434386467372525,0.163135105416081,0.0989092898510225,393.04398008046206,4.576758358856863e-07,0.0059493971447937
K,0.0202578089367537,0.6000901912394546,0.3216067740721346,0.0464236101312924,0.011621615620365,736.7035772667905,0.0004069576412486,0.0198508512955051
L,0.0236451908167538,0.3737042331709146,0.5241873566535157,0.0626680916217352,0.0157951277370788,423.0739007423851,0.0,0.0236451908167538
M,0.0340297858559445,0.4398428037442523,0.4236450907359463,0.0809646899914916,0.0215176296723656,513.2208964958973,0.0,0.0340297858559445
N,0.0278072420818975,0.3889455408411946,0.4995031902525783,0.0671842009614831,0.0165598258628462,422.882481459791,0.0,0.0278072420818975
O,0.0302932906901274,0.4039348814192363,0.4746001254877388,0.0728226282660804,0.0183490741368166,474.44548901735243,0.0,0.0302932906901274
P,0.0548172784715425,0.4291659985584852,0.4067546337039389,0.0828629816704731,0.0263991075955599,516.1336230373855,0.0,0.0548172784715425
Q,0.0640324218226124,0.4639814240782787,0.3644685078229885,0.0805352595581095,0.02698238671801,564.1625059546677,0.0,0.0640324218226124
R,0.0131893165914122,0.495827251151086,0.3787283773825816,0.0841471098910365,0.0281079449838844,545.3614909796024,0.0,0.0131893165914122
S,0.0232131348539516,0.3888221711304153,0.509474530499115,0.0633103703196406,0.0151797931968775,558.2645275424932,0.0,0.0232131348539516
T,0.0381542871423148,0.468951077457323,0.3776234889487027,0.0903746985208766,0.0248964479307823,245.3099876607761,0.0,0.0381542871423148
