formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0292661349733001,0.4216223271467295,0.4542154600017464,0.0758866121175027,0.0190094657607222,444.3195363149299,0.0,0.0292661349733001
B,0.0630230874274364,0.627417736729808,0.2636940805512725,0.0458058226825827,0.0,366.7977175905304,0.0,0.0630230874274364
C,0.0598912503281156,0.4408335958554836,0.4315835276243749,0.0676916261920264,0.0,358.1412012747244,0.0,0.0598912503281156
D,0.0337123896257362,0.2270471365529598,0.660866716229901,0.0748383492920182,0.0035354082993854,408.9267418709559,0.0,0.0337123896257362
E,0.0297235841742939,0.4216069697039959,0.4557264839660349,0.0759961031472689,0.0169468590084064,439.8334179756566,0.0,0.0297235841742939
F,0.0199577070536355,0.6063965214913375,0.3149280863259895,0.0479296041883004,0.0107880809407367,704.2981510056388,0.000381066929221,0.0195766401244144
G,0.0179978350368083,0.1456066031236451,0.8302853732729609,0.0060876982664369,2.249030014885039e-05,242.06447054909302,0.0,0.0179978350368083
H,0.0367613969767962,0.362906010199935,0.5252486537790158,0.0711351937844545,0.003948745259798,384.4170408158279,0.0,0.0367613969767962
I,0.0218997683076223,0.4582792609226011,0.3581480286333965,0.0853537664000688,0.0763191757363112,566.714393572067,0.0,0.0218997683076223
J,0.0057304983645441,0.183795725140192,0.5481544897018584,0.1647132408110723,0.0976060459823333,364.4184712827398,5.671019102659675e-07,0.0057299312626338
K,0.0194623135417121,0.6062104160959882,0.3147273282819953,0.0476619349604122,0.0119380071198919,702.2289814766797,0.0004377093601642,0.0190246041815479
L,0.0220977945652026,0.3827793218754589,0.5141625953463301,0.0644512956035169,0.0165089926094918,404.08657823094126,0.0,0.0220977945652026
M,0.0325753913960695,0.4462552395672144,0.4160361146756406,0.0830883125974142,0.0220449417636606,488.49838129047833,0.0,0.0325753913960695
N,0.0263746774407902,0.3973294628257593,0.4900895371768007,0.0691023469206682,0.0171039756359817,402.6752970814929,0.0,0.0263746774407902
O,0.028781001142769,0.4126217011154257,0.4645335445267774,0.0751317876062481,0.0189319656087796,450.2261015067728,0.0,0.028781001142769
P,0.0533810148113959,0.4356459429613379,0.3992928089941158,0.0847905320241908,0.0268897012089603,491.41776116220126,0.0,0.0533810148113959
Q,0.0628967839566621,0.4695976472791487,0.3578124618154555,0.0822526764656674,0.0274404304830666,536.6875960577908,0.0,0.0628967839566621
R,0.0121365870794899,0.501959976343593,0.3715918363954795,0.0857282445462011,0.0285833556352368,519.2209261761233,0.0,0.0121365870794899
S,0.0220092237217893,0.3934513338609138,0.504539526881802,0.0644415102790157,0.0155584052564791,535.3167315870763,0.0,0.0220092237217893
T,0.0358528582898929,0.4883175270735133,0.3558009219685865,0.0943878211497413,0.0256408715182655,231.82649248226912,0.0,0.0358528582898929
