formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0099580250136922,0.4465638373822507,0.0,0.0001001324612139,0.543378005142843,40.910114944356586,0.0003058914032505,0.0096521336104417
B,0.1361903378831459,0.862129505512493,0.001680156604361,0.0,0.0,31.517540343898876,0.0,0.1361903378831459
C,0.0402404558814905,0.9587976105740168,0.0,0.0,0.0009619335444924,31.80195599350953,0.0004148074783891,0.0398256484031014
D,0.011614222415686,0.684218960255734,0.0,0.0,0.3041667149533266,71.2224786725094,0.0002861013236768,0.0113281210920091
E,0.0,0.9440604473394182,0.0,0.0,0.0559395526605818,1.1285415182483913,0.0,0.0
F,0.0080149381553713,0.8968175441697421,0.0243753502459722,0.0006280944469968,0.0701640729819174,52.76902671065207,0.0,0.0080149381553713
G,0.0005749894104024,0.9912452211338852,0.0,0.0,0.0081797894557124,52.833704266205544,0.0,0.0005749894104024
H,0.0126709207677426,0.9238753639577676,0.0,0.0,0.0634016146629221,37.15124993874392,0.0,0.0126709207677426
I,0.0037293942617836,0.2837026330623446,0.0,0.005256601649053,0.7073113710268184,104.25558273612174,0.000767956021512,0.0029614382402716
J,0.0051519233605935,0.4795164814377384,0.0011755070611746,0.1256244365697121,0.388531651570781,211.21742937195407,0.0028294810135672,0.0023224423470262
K,0.0265622429591705,0.5850918719917461,0.0236544569045905,6.719206364567878e-05,0.364624236080847,60.6594172208692,0.0012445695892212,0.0253176733699493
L,0.0106515869410433,0.4963303046549938,0.0,0.0001039686662143,0.4929141397377483,37.228010884240945,0.0002956132112943,0.0103559737297489
M,0.0102352123869358,0.4624691688855086,0.0,5.667538428607101e-05,0.5272389433432694,40.122350888358,0.0003431677823844,0.0098920446045513
N,0.008740227534517,0.445113198641322,0.0094405005103953,0.0052603438605879,0.5314457294531776,43.09368338128147,0.0002558698666782,0.0084843576678387
O,0.0107603801222069,0.4453863693665181,0.0,9.974506095300384e-05,0.5437535054503219,40.55889691131924,0.0003055609374563,0.0104548191847506
P,0.0271871978853066,0.4813596799521985,0.0,0.0001251968786479,0.4913279252838467,77.07152329499905,0.0002570158692508,0.0269301820160558
Q,0.1159896424963413,0.7154935199940122,0.0,4.419401789770105e-05,0.1684726434917484,209.5072471663117,0.0001018883391518,0.1158877541571895
R,0.0086664964429599,0.4571217916675191,0.0,8.660338604002979e-05,0.534125108503481,41.65874206958375,0.0006776373732362,0.0079888590697237
S,0.0092768401881793,0.397958536156464,0.0,0.0002661903104704,0.5924979511476601,37.330963805423025,0.0002367643787357,0.0090400758094435
T,0.010041301499356,0.6033799811851168,0.0,0.0002091709767428,0.3863695463387842,37.272197447800266,1.877031669183552e-05,0.0100225311826641
