formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0317652267898022,0.383409793532341,0.4944197411392751,0.0745694935794187,0.0158357449591627,179.72437263328735,0.0,0.0317652267898022
B,0.0628620590663067,0.5200757293997393,0.3732191199044787,0.0438131612301179,0.0,146.6633187288998,0.0,0.0628620590663067
C,0.0554646192787821,0.3276150132884797,0.5580076159965204,0.0589127514362177,0.0,158.65041131456266,0.0,0.0554646192787821
D,0.031357971456784,0.1800031193257874,0.7226239063825336,0.0630442644931074,0.0029707383417873,189.75503081918654,0.0,0.031357971456784
E,0.0310545763457153,0.3830547329014053,0.4978194172699835,0.0740752606072162,0.0139960128756782,178.94321974935022,0.0,0.0310545763457153
F,0.0185787929479162,0.6625043279139912,0.2738845567616514,0.037853657083511,0.0071786652929299,352.12177342128876,0.0002810180978462,0.01829777485007
G,0.0148456139453176,0.1042600670830162,0.8751690746846769,0.0057151061557514,1.013813123807486e-05,101.87056765624631,0.0,0.0148456139453176
H,0.0373553988416874,0.3129602049597232,0.5796549833898897,0.0663497928436867,0.0036796199650135,154.1585672123665,0.0,0.0373553988416874
I,0.0237367643646962,0.4572952610150301,0.3696548706147864,0.0871129399701461,0.062200164035341,242.95910458979037,0.0,0.0237367643646962
J,0.0043734205152147,0.1626957720493272,0.6051481958820648,0.147119514733425,0.0806630968199685,146.30165905265312,2.425612801640318e-07,0.0043731779539346
K,0.018647723975532,0.6642103354119727,0.2711854949849116,0.0379069205394763,0.0080495250881068,350.92998552757234,0.0007016267342809,0.0179460972412511
L,0.01945414251273,0.3392864762489246,0.5720041629225772,0.0584249142657033,0.0108303040500648,169.23139140623095,0.0,0.01945414251273
M,0.038172934717594,0.4221896929559159,0.4430005170015757,0.0780023135983381,0.0186345417265768,204.93205197337352,0.0,0.038172934717594
N,0.0285035293217041,0.3513550637070649,0.5375091566789814,0.0685867131459431,0.0140455371463067,161.18304761500156,0.0,0.0285035293217041
O,0.0313570321577895,0.3783430190310762,0.5008747790869539,0.0735915502191837,0.0158336195049964,181.24597828534203,0.0,0.0313570321577895
P,0.0688098467288781,0.3939234466258356,0.4291588548899798,0.0838964337345925,0.0242114180207131,200.94352766888736,0.0,0.0688098467288781
Q,0.0814978421096723,0.4422652850352662,0.3691863505130886,0.0821263548794739,0.0249241674624989,222.25336402627204,0.0,0.0814978421096723
R,0.0083202092867511,0.4899002492522655,0.3884679925753309,0.0871256242343421,0.0261859246513098,212.96283444924487,0.0,0.0083202092867511
S,0.0192281239685027,0.3477989145364907,0.5787336548195542,0.0454927965070329,0.0087465101684197,299.7982453066988,0.0,0.0192281239685027
T,0.034408259222129,0.475639944590299,0.3491996936251245,0.1118722448202569,0.028879857742191,73.46386344402998,0.0,0.034408259222129
