formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0372448922463184,0.7548107445731823,0.0525697687358706,0.144725265420838,0.0106493290237903,319.36613125960577,0.0,0.0372448922463184
B,0.0938615228654553,0.4645438870912515,0.2227698379964153,0.2188247520468783,0.0,148.0959890725119,0.0,0.0938615228654553
C,0.1601134604971759,0.0610114574748485,0.3623739744203865,0.4165011076075889,0.0,90.7222215057301,0.0,0.1601134604971759
D,0.1886698408116856,0.0222750348151444,0.0853620539202023,0.6825527992045157,0.0211402712484517,61.31655260000521,0.0,0.1886698408116856
E,0.0641034419171732,0.7212268329063354,0.0686304874676309,0.1442850785466034,0.0017541591622575,71.97802827273561,0.0,0.0641034419171732
F,0.0312069671306296,0.5858306479180129,0.289659306555594,0.0922973465291006,0.0010057318666627,355.465295062499,6.169295181839903e-05,0.0311452741788112
G,0.0201337213892716,0.1361769404947168,0.818150648427483,0.0108345574670877,0.0147041322214406,15.068176088160296,0.0,0.0201337213892716
H,0.0675422487652385,0.6825112213520411,0.0958954767352473,0.1519138094974452,0.0021372436500275,124.53517808131616,0.0,0.0675422487652385
I,0.0171975992524334,0.6032151868279823,0.0446126950580718,0.2493063859786266,0.0856681328828859,319.91264515028854,0.0,0.0171975992524334
J,0.0047486810921512,0.2694539343068326,0.112909946852192,0.5812699807981879,0.0316174569506363,181.02523228191504,0.0,0.0047486810921512
K,0.028927460024204,0.6925805890111435,0.1616295388616151,0.1088608971674834,0.0080015149355535,427.21979395009356,0.0003563950120384,0.0285710650121655
L,0.0168578143771445,0.8651029663466836,0.0216409498151803,0.0924734305511882,0.0039248389098023,663.1336764161329,0.0,0.0168578143771445
M,0.0301095447640488,0.7520413827745148,0.0527994920850608,0.1490567290911899,0.0159928512851851,249.09603424134284,0.0,0.0301095447640488
N,0.0406481089716918,0.7619180910778177,0.0483160999161978,0.1403478052416042,0.0087698947926882,364.8829403135099,0.0,0.0406481089716918
O,0.0370884869876497,0.7547308767171911,0.0534976168251418,0.1439723158291676,0.0107107036408493,313.40963049658734,0.0,0.0370884869876497
P,0.1003407468770662,0.6907172095418647,0.0491945985646984,0.1475939009924425,0.012153544023928,741.0862907173181,0.0,0.1003407468770662
Q,0.1811205865848884,0.6879165979804228,0.0171045172862329,0.104236084297223,0.0096222138512339,1176.9459453313607,0.0,0.1811205865848884
R,5.584431912612832e-06,0.8289011804158177,0.0311724718722371,0.1332300154483476,0.0066907478316856,920.787008554053,0.0,5.584431912612832e-06
S,0.0222574018677285,0.7844015586972064,0.047549545244034,0.1337428602279332,0.012048633963098,306.6187666277889,0.0,0.0222574018677285
T,0.1036469459419071,0.4488798785883431,0.1197053316608241,0.3032460399356849,0.0245218038732406,121.86778178718014,0.0,0.1036469459419071
