formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0339546096522483,0.7184092956803307,0.0677578613775466,0.1665921051808464,0.0132861281090278,305.5859818628448,0.0,0.0339546096522483
B,0.0806338396634783,0.4666683711467316,0.2287619769623288,0.2239358122274616,0.0,154.1658869054593,0.0,0.0806338396634783
C,0.1341959311549652,0.0589221971138994,0.3787679230813608,0.4281139486497745,0.0,96.08669444902077,0.0,0.1341959311549652
D,0.1481634847894173,0.0208459507764247,0.1350308567254263,0.6761332596649471,0.0198264480437844,68.42320124079237,0.0,0.1481634847894173
E,0.0577744396530408,0.6899588387706501,0.0757229015561448,0.1744489169894919,0.002094903030672,69.65023667496199,0.0,0.0577744396530408
F,0.0291628478817511,0.565087687261843,0.2911354296386484,0.1133364158222811,0.0012776193954768,350.38476750870194,6.119298910579657e-05,0.0291016548926453
G,0.0207263880020919,0.1223837236847598,0.8299124911682295,0.0126531165839755,0.0143242805609431,15.590629165827398,0.0,0.0207263880020919
H,0.062627662033219,0.647232864599501,0.1087234401444528,0.1790095105622973,0.0024065226605298,123.50004197201329,0.0,0.062627662033219
I,0.0157988095977171,0.515072186826249,0.0547606635222628,0.3166367928367351,0.097731547217036,335.28670197582875,0.0,0.0157988095977171
J,0.0035334383779315,0.2466011093182034,0.1112452144926486,0.6015924767748734,0.0370277610363432,267.1312733391296,0.0,0.0035334383779315
K,0.0265148156772444,0.6618295148123752,0.1750367148027686,0.1265373190920283,0.0100816356155833,404.7746919919221,0.0003349881197838,0.0261798275574605
L,0.0155430380098574,0.8410801261814352,0.0283584359352287,0.10939456245484,0.0056238374186393,614.2807462605734,0.0,0.0155430380098574
M,0.0277680431107119,0.707987729296355,0.0756167652567974,0.1701138785558994,0.0185135837802364,236.57308121803553,0.0,0.0277680431107119
N,0.0375836335906993,0.7295613867322047,0.0614324557133904,0.1602573322343426,0.0111651917293627,352.15935214752284,0.0,0.0375836335906993
O,0.0338258798644018,0.718756431098165,0.0684758958782737,0.165591113097083,0.0133506800620767,299.7617617154175,0.0,0.0338258798644018
P,0.0979392437521708,0.6614616859278647,0.0585701183784401,0.1672486499416995,0.014780301999825,694.7307256806413,0.0,0.0979392437521708
Q,0.1914642050496351,0.6555546177206079,0.0239868132093985,0.1177469100155152,0.011247454004843,1083.0782077687281,0.0,0.1914642050496351
R,1.6148707431243917e-05,0.7999104029933087,0.0374696836344521,0.154574071814416,0.0080296928503922,842.9185662188048,0.0,1.6148707431243917e-05
S,0.0208214066809627,0.7425046407725815,0.0651665251699353,0.156731259809059,0.0147761675674616,293.1635905172356,0.0,0.0208214066809627
T,0.0739032221434256,0.4590303482479611,0.1331658291669151,0.3086481835330205,0.0252524169086778,141.76602752523453,0.0,0.0739032221434256
