formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0273396877745915,0.4515899878160745,0.4141884287998363,0.087519357559776,0.0193625380497211,498.6071013047564,0.0,0.0273396877745915
B,0.0564650557981296,0.6034820503104531,0.2869213839277587,0.0531083323323789,0.0,420.08654562320595,0.0,0.0564650557981296
C,0.056736661090476,0.3877337583491984,0.4769139950724911,0.0786155854878352,0.0,398.47534522832996,0.0,0.056736661090476
D,0.0333933635197532,0.1955353105442379,0.6783406925197558,0.088096086851034,0.0046345465652188,444.78623559108655,0.0,0.0333933635197532
E,0.0280895138961731,0.4515792043268727,0.4158424078674341,0.0872928439695917,0.0171960299399275,494.19284155968234,0.0,0.0280895138961731
F,0.0164367129726295,0.6719178036794932,0.2560749519556196,0.0463554178934382,0.0092151134988191,938.5044897628201,0.000419974472453,0.0160167385001765
G,0.0213967149565865,0.1648661775048822,0.8059432242436263,0.0077734083301975,2.0474964707729375e-05,256.3966926476755,0.0,0.0213967149565865
H,0.0338723586671994,0.3877305321335822,0.4919506857201806,0.0824155121172759,0.0040309113617615,420.9819338507046,0.0,0.0338723586671994
I,0.0191951840129636,0.4790274885487086,0.3347656946554279,0.0968893063318362,0.0701223264510632,622.2241201854242,0.0,0.0191951840129636
J,0.0037019972153029,0.1579821117689453,0.6003142506914723,0.1584406336203452,0.0795610067039332,341.0681760977315,4.252849819852478e-07,0.0037015719303209
K,0.0158797130175842,0.6720365960336903,0.2555341163668799,0.046305938208174,0.0102436363736718,935.4312019824171,0.0005286419049308,0.0153510711126533
L,0.0165075192982851,0.3957095829339445,0.4963563813436973,0.0751305087350555,0.0162960076890173,440.4494909703366,0.0,0.0165075192982851
M,0.0334116858990038,0.4850058361755089,0.3684034344503981,0.0911188702695793,0.02206017320551,569.4340347635342,0.0,0.0334116858990038
N,0.0226650173584106,0.418264122304736,0.4594129876250887,0.0819185183710062,0.0177393543407583,438.34689832275467,0.0,0.0226650173584106
O,0.0269416665573573,0.4486113667586521,0.418014571601975,0.0868852838172169,0.0195471112647994,499.6330166527571,0.0,0.0269416665573573
P,0.0539051594346646,0.4693965606495422,0.3509997960459736,0.0975315839630105,0.0281668999068093,570.7762908416244,0.0,0.0539051594346646
Q,0.0569310593479733,0.5144617537366367,0.305053566548302,0.0950221706193134,0.028531449747774,633.7448252169678,0.0,0.0569310593479733
R,0.0051761092054886,0.5488926275721119,0.3169746843134701,0.0993627078279006,0.0295938710810287,615.3396009362132,0.0,0.0051761092054886
S,0.0179179321103356,0.4038270059623586,0.4967377913388955,0.0674749578224309,0.0140423127659791,666.3218053379351,0.0,0.0179179321103356
T,0.0282457705732746,0.5332074445560417,0.2758236890807972,0.1302474515320583,0.0324756442578286,186.91107468832683,0.0,0.0282457705732746
