formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0088533179141699,0.3106225732333379,0.0,0.0001792419828648,0.680344866869627,35.714973830550974,0.0001723960650288,0.0086809218491411
B,0.0957531240673772,0.903396907540944,0.0008499683916786,0.0,0.0,28.359668757600197,0.0,0.0957531240673772
C,0.0306033820098423,0.9688769028515734,0.0,0.0,0.0005197151385841,28.177889761142552,0.0002046298954404,0.0303987521144019
D,0.0116227205450887,0.550827030492564,0.0,0.0,0.4375500018497639,55.51708462380358,0.0001961114933023,0.0114266090517864
E,0.0,0.9340779502720236,0.0,0.0,0.0659220497279763,0.7961646401431712,0.0,0.0
F,0.0095234226988524,0.8811163380641289,0.0308014383051637,0.0003156589703051,0.0782431419615497,49.53596962355809,0.0,0.0095234226988524
G,0.0002863515889959,0.9928870305128106,0.0,0.0,0.0068266178981935,54.190648957457356,0.0,0.0002863515889959
H,0.0174598006106623,0.9106884696021436,0.0,0.0,0.0718048122191361,24.795687411611013,0.0,0.0174598006106623
I,0.0032796091845484,0.2084043321532246,0.0,0.0053754251048564,0.7829406335573708,86.76973874238159,0.0006490806906761,0.0026305284938723
J,0.0057428595380883,0.3897208868832564,0.0010718808786793,0.1543966797088166,0.4490676929911591,189.78565678442206,0.0021435823848201,0.0035992771532682
K,0.0368352387098798,0.5262673900092455,0.0299523414948742,0.0001071843807332,0.4068378454052673,59.42500064949013,0.0010062773776616,0.0358289613322181
L,0.0088885879515948,0.3517513937955311,0.0,0.000276889069826,0.6390831291830481,31.8031108273707,0.0001716026752204,0.0087169852763743
M,0.0087867342470248,0.3276202676657525,0.0,6.20305414878745e-05,0.6635309675457347,34.85731979277057,0.0002315063527644,0.0085552278942603
N,0.0072699528612739,0.3108809668107876,0.0088938392094596,0.0051764663531764,0.6677787747653022,37.371719961786674,0.0001858724325868,0.0070840804286871
O,0.0095698884561788,0.3104092838199138,0.0,0.0001782280807921,0.6798425996431153,35.470301329483185,0.0001723237484092,0.0093975647077695
P,0.0289148976030363,0.3419560730827043,0.0,0.0002818028950511,0.628847226419208,66.6393867955578,0.0001518996983829,0.0287629979046534
Q,0.1249476928411134,0.6234937355892993,0.0,6.928260162474384e-05,0.2514892889679624,162.88730108800485,6.665274986490462e-05,0.1248810400912486
R,0.007421887912316,0.3246496367809576,0.0,0.0001594744005168,0.6677690009062095,35.88213618299575,0.0004294518159245,0.0069924360963914
S,0.0075444995684831,0.2980610038258595,0.0,0.0005605699329198,0.6938327288300569,33.6283767612555,0.0001384615851633,0.0074060379833197
T,0.0109125324203565,0.6587475955560856,0.0,0.0001083409708788,0.3302315310526791,34.79241008548934,1.8324604100199175e-05,0.0108942078162563
