formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0359916309331218,0.3090964231732303,0.577047538006102,0.064468269612198,0.0133961382753492,238.16830602887245,0.0,0.0359916309331218
B,0.0808895698394209,0.506946158081669,0.3735383038682253,0.0385949164928933,0.0,175.62951458727804,0.0,0.0808895698394209
C,0.0596985644224476,0.3270508236199848,0.5642530518932465,0.0489975600643206,0.0,206.91881811496683,0.0,0.0596985644224476
D,0.0306312455085379,0.1672966035990685,0.7529144461254228,0.0473564824169111,0.0018012223500604,278.2832852611701,0.0,0.0306312455085379
E,0.0348931534298291,0.3095783442164108,0.5816931386193437,0.0618891926848408,0.0119461710495765,237.60313437695942,0.0,0.0348931534298291
F,0.025874557192542,0.5096269731737925,0.4134994653532078,0.0427213791711859,0.0082776251092722,345.91409054228325,0.0002294511051659,0.025645106087376
G,0.0094829495658607,0.0706085200282419,0.915678859193222,0.0042239052628329,5.765949842324253e-06,149.34135645679044,0.0,0.0094829495658607
H,0.0436156322066774,0.2755306425913257,0.6261233645610176,0.0512829069222771,0.0034474537187026,221.99260802672828,0.0,0.0436156322066774
I,0.0282514659911418,0.4175326164752869,0.4189828496654217,0.0756843779706765,0.0595486898974729,331.1438329028128,0.0,0.0282514659911418
J,0.0126607953249879,0.2335516937304889,0.4825707460669473,0.1714520427269605,0.0997647221506156,281.19221125567174,1.0290810035346393e-07,0.0126606924168875
K,0.026601935796774,0.509777975744747,0.4100196502036461,0.0443790579302667,0.0092213803245664,343.4099837164153,0.0004669196968732,0.0261350160999008
L,0.0275191947145472,0.2845632190725252,0.6310497786083836,0.0479015052855209,0.0089663023190221,228.0767995124765,0.0,0.0275191947145472
M,0.037740879137332,0.3333271262278838,0.5405638103273855,0.0713396406409467,0.0170285436664522,256.91717924669484,0.0,0.037740879137332
N,0.0330025822095417,0.291006104785296,0.6093953845827449,0.0545119408529493,0.0120839875694676,0.0,0.0,0.0330025822095417
O,0.0352390366775083,0.2944588685744657,0.5948740941427747,0.0620390170947707,0.0133889835104795,246.55913246175393,0.0,0.0352390366775083
P,0.0645447375556347,0.3089619838983323,0.5344034301998704,0.0716223244202436,0.0204675239259201,250.76383390230848,0.0,0.0645447375556347
Q,0.0883259458551561,0.3362976553225361,0.4840470193856804,0.0700247910925627,0.0213045883440635,268.9136128858747,0.0,0.0883259458551561
R,0.0188555861546673,0.374074768689471,0.511523633427885,0.0733369853237921,0.0222090264041831,258.5673266921938,0.0,0.0188555861546673
S,0.0241533060551743,0.2991132739040724,0.6222627416236988,0.0453691996603708,0.0091014787566836,328.2584996793809,0.0,0.0241533060551743
T,0.0429647394647903,0.3573040366441485,0.5024194311483016,0.0773764404436955,0.0199353522990623,135.0083565151537,0.0,0.0429647394647903
