formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0335655115167931,0.7187869473583947,0.0678228753239121,0.1665493463614172,0.0132753194394831,293.97459563733554,0.0,0.0335655115167931
B,0.0797237249519262,0.4646338619881622,0.2309072629089255,0.224735150150986,0.0,147.81059439269418,0.0,0.0797237249519262
C,0.1331918819219312,0.0583009246398687,0.3782384198614419,0.4302687735767581,0.0,92.05109858272115,0.0,0.1331918819219312
D,0.1477455688806423,0.0204413586038773,0.1330365826344512,0.679180851548909,0.0195956383321199,65.57128722610736,0.0,0.1477455688806423
E,0.0573255268677121,0.6880207858313483,0.0756219124878015,0.1768378031094914,0.0021939717036463,66.19604578514382,0.0,0.0573255268677121
F,0.0284502758242092,0.5569207788440578,0.2950382310000111,0.1182194638202804,0.0013712505114415,331.0304009290662,5.593925156892502e-05,0.0283943365726403
G,0.0203452929346285,0.1131704800386919,0.8396374872993634,0.0128761468916932,0.0139705928356226,14.940506519845183,0.0,0.0203452929346285
H,0.0616061594203914,0.6436138982516968,0.1102853393133298,0.1820685007164147,0.0024261022981668,116.5859695419531,0.0,0.0616061594203914
I,0.0156095382297745,0.5222358835904686,0.0537590475957572,0.3106253689328874,0.0977701616511123,319.7899783435059,0.0,0.0156095382297745
J,0.0034609223952807,0.2468338204428622,0.1116959804987847,0.601123105155501,0.0368861715075711,247.90955640844987,0.0,0.0034609223952807
K,0.0264454816725192,0.6628917410602649,0.1736636275507741,0.1268943478565724,0.0101048018598687,388.18563810952406,0.000323355120163,0.0261221265523562
L,0.0153755481883309,0.8411116507897556,0.0284733924190458,0.1093307216592083,0.0057086869436594,595.2596640172652,0.0,0.0153755481883309
M,0.0277545262839474,0.7099726497378247,0.0752872198624875,0.1682519583777518,0.0187336457379887,228.60143085218846,0.0,0.0277545262839474
N,0.0368906028777914,0.7293407116297871,0.0616820571955226,0.1609862747923046,0.0111003535045944,338.12152048357024,0.0,0.0368906028777914
O,0.0332955982550278,0.7190304385501555,0.0686899556302355,0.1655865347842139,0.0133974727803669,288.4131607804462,0.0,0.0332955982550278
P,0.098163195336265,0.6642938365950645,0.0584854065271401,0.1645755406324945,0.0144820209090352,675.6930475955375,0.0,0.098163195336265
Q,0.1915939888435554,0.660679156904668,0.0232884246921597,0.1137588378711899,0.0106795916884276,1072.7982450021955,0.0,0.1915939888435554
R,1.6383606958449408e-05,0.8060992825546537,0.0368228264468162,0.1493639661232254,0.0076975412683449,834.691825717808,0.0,1.6383606958449408e-05
S,0.0207585277806322,0.7450701991498041,0.0644984459579794,0.1550088728366107,0.0146639542749729,284.6267819003054,0.0,0.0207585277806322
T,0.0732133652155603,0.4641447070268842,0.1291440998767627,0.3083677851145087,0.0251300427662836,137.70848565361229,0.0,0.0732133652155603
