formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0277944019430373,0.3973291377851318,0.4764987635819415,0.0809174897181497,0.0174602069717398,590.8902478224753,0.0,0.0277944019430373
B,0.0622635030279683,0.5739945369848034,0.3140439506380946,0.0496759598316501,0.0,472.2835819713103,0.0,0.0622635030279683
C,0.0571027254361866,0.3732187560807204,0.5006308102834118,0.0690477081996802,0.0,480.368269587663,0.0,0.0571027254361866
D,0.0309069474340311,0.1863118692564431,0.7058081743179844,0.0734659259831041,0.0035070830084374,574.1315032003869,0.0,0.0309069474340311
E,0.0280299445915153,0.3980036724600204,0.4786155884833954,0.0799316091906877,0.0154191852743813,586.3591390106807,0.0,0.0280299445915153
F,0.0184390040869718,0.6086909735723885,0.3155635177337774,0.0479813333530668,0.0093251712537951,983.8064812184163,0.0003763508967334,0.0180626531902384
G,0.0162821272682067,0.1262114997875807,0.8513767390455349,0.0061157322854998,1.390161317839582e-05,330.1304815073949,0.0,0.0162821272682067
H,0.0363610242440784,0.340088721704998,0.5474653982221196,0.0723445220633545,0.0037403337654499,516.5795665279683,0.0,0.0363610242440784
I,0.0203969431870169,0.4535983538657776,0.3685079746486326,0.0906585042959964,0.0668382240025767,771.6939844460787,0.0,0.0203969431870169
J,0.0061689242897954,0.1799135583977414,0.5580306064464332,0.1667707453266737,0.0891161655393557,499.7564571412418,2.454366956455166e-07,0.0061686788530998
K,0.0181704869894423,0.608437556800809,0.3145419876730423,0.0484058331496647,0.0104441353870412,980.4579644698745,0.0004795871485008,0.0176908998409415
L,0.0191502396697956,0.3466699207359142,0.5530072771232615,0.0675251648892566,0.0136473975817717,533.7599522999349,0.0,0.0191502396697956
M,0.032579441344914,0.4273939005862542,0.4343451686677081,0.0852506596605988,0.0204308297405245,656.0676673521417,0.0,0.032579441344914
N,0.0240659775440089,0.3691691712136337,0.5178564741639587,0.0729899049250187,0.0159184721533805,532.2967520746339,0.0,0.0240659775440089
O,0.0270320266223709,0.3920864323911801,0.4844348803838143,0.0788965610908502,0.017550099511785,595.2596914363188,0.0,0.0270320266223709
P,0.0530148979498434,0.4094851840110206,0.4205393367922409,0.0907599523119815,0.026200628934914,653.6122591744447,0.0,0.0530148979498434
Q,0.0643062974511112,0.4463599769167925,0.3736715452524842,0.0889113954502757,0.0267507849293354,715.6307079766231,0.0,0.0643062974511112
R,0.0089513878763553,0.4788142362103419,0.3911510726388298,0.0932633753209349,0.0278199279535379,691.9332853589642,0.0,0.0089513878763553
S,0.0194363021758406,0.3615802187372914,0.5412573507241019,0.0645363295514588,0.0131897988113082,748.158205284928,0.0,0.0194363021758406
T,0.0325715015332759,0.4630430742080325,0.3656185492102163,0.1113016300830752,0.0274652449653997,265.2748918269506,0.0,0.0325715015332759
