formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0320922386114414,0.3528885191111818,0.5319932184643529,0.0675606888513216,0.0154653349617026,125.7434519518435,0.0,0.0320922386114414
B,0.0689948049314483,0.5364677071329321,0.3536670109909009,0.0408251808173857,0.0,98.23187896315193,0.0,0.0689948049314483
C,0.0587159067332477,0.3601854258952199,0.5263502110861873,0.0547484562853454,0.0,108.29843012988698,0.0,0.0587159067332477
D,0.0315564168851007,0.1934231116378682,0.715763684596739,0.0568300456503768,0.0024267412299146,134.13610788594727,0.0,0.0315564168851007
E,0.031321982954002,0.3527474063000738,0.535225548816244,0.0671056261120322,0.0135994358176481,125.08551238723358,0.0,0.031321982954002
F,0.0218045751784401,0.5739771217762885,0.353128607654896,0.0424491056433173,0.0086405897470586,198.81690878477562,0.0002622745208482,0.0215423006575919
G,0.0120401173831027,0.0883330711078764,0.8949801486717838,0.0046374660708013,9.196766434304118e-06,74.70272503436766,0.0,0.0120401173831027
H,0.0391880022635536,0.2925185122524251,0.605324908983105,0.0592816296831784,0.0036869468177384,111.09859811558032,0.0,0.0391880022635536
I,0.0250993532554991,0.4378036729152166,0.3900834189960052,0.0816944972505547,0.065319057582725,173.2530157629867,0.0,0.0250993532554991
J,0.0060713360862959,0.1889427655163809,0.554821623927044,0.1560758987819654,0.0940883756883132,119.9005595471018,2.2243356402543566e-07,0.0060711136527319
K,0.0221238660519536,0.5744127366665124,0.3510658432028838,0.0426378426066709,0.0097597114719793,197.76662059557188,0.0005215892710303,0.0216022767809232
L,0.0233057319445708,0.3250138623555249,0.5879702569991995,0.053037130606702,0.0106730180940027,120.25277071472989,0.0,0.0233057319445708
M,0.036314211864557,0.378961522262479,0.4919332553080752,0.0741710939547908,0.0186199166100984,137.72049617736693,0.0,0.036314211864557
N,0.0298504651543074,0.3302014050181301,0.5656126513968049,0.0607806712919288,0.0135548071388279,115.85771881818118,0.0,0.0298504651543074
O,0.0314396457461261,0.3435660653232668,0.5432555120055791,0.0663721758055615,0.015366601119466,128.12423436504272,0.0,0.0314396457461261
P,0.0632014864587072,0.3550260742434501,0.4811635194475774,0.0772683589910226,0.0233405608592418,135.8795920187958,0.0,0.0632014864587072
Q,0.081687985718426,0.3894648562830604,0.4287680033472686,0.0758055980046878,0.0242735566465577,147.62665587794703,0.0,0.081687985718426
R,0.0143472620921811,0.4317756451702341,0.4488949824275687,0.0796047542454187,0.0253773560645968,142.0790486833136,0.0,0.0143472620921811
S,0.0210803610922452,0.3362412537755762,0.587039923550761,0.0459921095629001,0.009646352018517,186.5457061630267,0.0,0.0210803610922452
T,0.0391880920939313,0.430815753666496,0.4166418549438455,0.0892231412632986,0.0241311580324273,65.3576628237535,0.0,0.0391880920939313
