formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0411472071839126,0.7496374971677378,0.0746925994811417,0.125524705618744,0.0089979905484647,91.79820252754784,0.0,0.0411472071839126
B,0.0958053841295427,0.341964746748627,0.3568534368745059,0.2053764322473244,0.0,40.2553178203702,0.0,0.0958053841295427
C,0.1578807033570874,0.0434337174762353,0.4375339558314702,0.3611516233352069,0.0,26.682427732589144,0.0,0.1578807033570874
D,0.2142985091842769,0.0157738363969306,0.1191517795381331,0.6326691824260398,0.0181066924546194,16.918980318596912,0.0,0.2142985091842769
E,0.0787129952751625,0.6714112546173827,0.0975034592171309,0.150660112262409,0.0017121786279146,18.80466873556395,0.0,0.0787129952751625
F,0.0407979710494898,0.5080779962382062,0.3728495930261395,0.0774254004571426,0.0008490392290221,79.5175250115002,3.1866038229800195e-05,0.04076610501126
G,0.0087745854217731,0.0543891298154876,0.9212421354898924,0.0056160046466031,0.0099781446262434,5.46421198024723,0.0,0.0087745854217731
H,0.0702003797665646,0.5507984786678181,0.1931352269361784,0.183464320522956,0.0024015941064831,27.91885598535296,0.0,0.0702003797665646
I,0.0184573937929457,0.6076266364482342,0.0617977731597974,0.2403028005541831,0.071815396044839,105.11680794712498,0.0,0.0184573937929457
J,0.0036112312601883,0.2449277832952357,0.1236379583164924,0.594612603625137,0.0332104235029464,68.65353735037093,0.0,0.0036112312601883
K,0.0356203685198176,0.7023709237217743,0.1558347025126805,0.0990763956758587,0.0070976095698684,116.9715078242505,0.0005540516562096,0.0350663168636079
L,0.0143453328469105,0.8907439256122083,0.0294579516768843,0.0629883074877244,0.0024644823762717,219.28912299992513,0.0,0.0143453328469105
M,0.0345474534273844,0.7514484248897699,0.0785145226669363,0.1219963807677929,0.0134932182481167,75.97320604075617,0.0,0.0345474534273844
N,0.0428822821852227,0.7526060896450932,0.0701604451094317,0.126572424643175,0.0077787584170776,101.44686618656884,0.0,0.0428822821852227
O,0.0400740254887967,0.7517338785481427,0.0747349785009136,0.1242357691466884,0.0092213483154585,89.81164480444555,0.0,0.0400740254887967
P,0.120003727433586,0.6803137314534352,0.0716910832661398,0.1166799691468827,0.011311488699956,241.92177240505913,0.0,0.120003727433586
Q,0.2157220845654539,0.6827909225348158,0.0215139042276789,0.0720399631927357,0.0079331254793153,437.94909528045997,0.0,0.2157220845654539
R,0.0002111415012427,0.8674234645570081,0.037542240176643,0.0892318177396854,0.0055913360254195,339.00425560955745,0.0,0.0002111415012427
S,0.0264352411803887,0.7957687272666835,0.0715827044128791,0.0973512210368324,0.0088621061032158,103.79626429905113,0.0,0.0264352411803887
T,0.1291807187612943,0.3573155763501417,0.1639742321699289,0.323725749860885,0.0258037228577499,30.334578425647408,0.0,0.1291807187612943
