formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0081066636065322,0.3011331122756091,0.0,0.000189380646345,0.6905708434715135,35.786092465322305,0.000176215253161,0.0079304483533712
B,0.0953980164855755,0.903767992890688,0.0008339906237366,0.0,0.0,28.297770284034726,0.0,0.0953980164855755
C,0.0291430162630515,0.97032506229978,0.0,0.0,0.0005319214371684,28.549670983147223,0.0003260404816842,0.0288169757813673
D,0.010941357446776,0.5390699342449118,0.0,0.0,0.4499884779087298,54.820082111910324,0.0001931338031034,0.0107482236436725
E,0.0,0.9350111132718302,0.0,0.0,0.0649888867281699,0.7509595399379061,0.0,0.0
F,0.0094523282713463,0.8807471364597793,0.0314126955952988,0.0002843825910667,0.0781034570825088,49.89043509266083,0.0,0.0094523282713463
G,0.0002816047973266,0.9930175979954504,0.0,0.0,0.006700797207223,56.10928776143135,0.0,0.0002816047973266
H,0.0169769515035031,0.909192564130551,0.0,0.0,0.0737865947237019,24.022151595757396,0.0,0.0169769515035031
I,0.0031302970500338,0.205614419128907,0.0,0.0059907172637254,0.785264566557334,86.89576053527901,0.0006456800785091,0.0024846169715246
J,0.00615809478336,0.3971215785221049,0.0010670441698201,0.1533190362060557,0.442334246318659,178.73595103306917,0.0022124458575752,0.0039456489257848
K,0.0385038907679587,0.5211174294381343,0.0304965050419505,0.0001123742478128,0.4097698005041434,60.00586475184456,0.0010286045604911,0.0374752862074675
L,0.0086480632498276,0.3418945543482218,0.0,0.0003220631179262,0.6491353192840242,31.817268459094212,0.0001715030757397,0.0084765601740879
M,0.0083260981642319,0.3159446493118125,0.0,5.4496590567300854e-05,0.6756747559333884,34.936233249727835,0.0002305414399689,0.0080955567242629
N,0.0068351954191807,0.3012299930685883,0.0084678782144359,0.0048159289857829,0.6786510043120122,37.3581884518477,0.0001870299085688,0.0066481655106119
O,0.0087232705699642,0.3008077884200952,0.0,0.0001883051161292,0.6902806358938111,35.541837061095265,0.0001762507910824,0.0085470197788818
P,0.0268524915306915,0.3337009477334501,0.0,0.0003049426196846,0.6391416181161736,66.84535464943909,0.0001567784420598,0.0266957130886316
Q,0.1201824711084113,0.6220833874248674,0.0,6.831327693046435e-05,0.2576658281897905,163.32647771526956,6.891343405350391e-05,0.1201135576743578
R,0.00701986648651,0.3160174435210143,0.0,0.0001601098121215,0.6768025801803539,36.00751301080385,0.0004287601728356,0.0065911063136743
S,0.0069382552012215,0.2957023701587232,0.0,0.0006051044148953,0.6967531834275902,33.68467887231218,0.000142011195738,0.0067962440054835
T,0.0105493259295013,0.6589027681738486,0.0,0.0001118105857214,0.3304360953109283,34.847334365037725,2.124399621908631e-05,0.0105280819332822
