formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0454613825794449,0.8165800471591077,0.0596433226541759,0.0735467151200344,0.0047685324872371,61.762774382054985,0.0,0.0454613825794449
B,0.1096732391345786,0.3392349331908085,0.4051618837169777,0.1459299439576351,0.0,24.39741157546815,0.0,0.1096732391345786
C,0.2101734063357882,0.0486479423377302,0.4629849429627387,0.2781937083637427,0.0,14.322504534736817,0.0,0.2101734063357882
D,0.3597206369521123,0.0161625425249739,0.0556776064892014,0.5496874854361058,0.0187517285976066,7.866792721811235,0.0,0.3597206369521123
E,0.0921632906714679,0.698282967846433,0.1174960012880583,0.0912168181289873,0.0008409220650537,12.02221572799293,0.0,0.0921632906714679
F,0.0493279469084872,0.4766959162587312,0.4323650855984942,0.0412411021930296,0.0003699490412578,52.40355109044495,2.2336859057502767e-05,0.0493056100494297
G,0.0052202665189472,0.0439176578826842,0.940219021624128,0.0027555655558389,0.0078874884184016,3.688464831381719,0.0,0.0052202665189472
H,0.0839945162904162,0.5684182903739002,0.2293689226831565,0.1162525221200567,0.0019657485324697,16.61039048090763,0.0,0.0839945162904162
I,0.0193219479839133,0.7241190421631981,0.0621466690537289,0.1457216439983356,0.0486906968008237,62.202074319230036,0.0,0.0193219479839133
J,0.0068501292478402,0.2912160272939176,0.1657355846891641,0.5128911556882824,0.0233071030807956,24.739056978933665,0.0,0.0068501292478402
K,0.0417072261100525,0.7612724342185617,0.1348225124339349,0.0584134630748779,0.0037843641625725,78.22239422814971,0.0011016426786807,0.0406055834313718
L,0.0128864213887959,0.9283859496451886,0.0247574429404229,0.0330597153640327,0.00091047066156,167.51624825531144,0.0,0.0128864213887959
M,0.0392164923464722,0.815100681351372,0.0627758796675457,0.073411448016868,0.0094954986177419,52.870680080589096,0.0,0.0392164923464722
N,0.0470026557599285,0.8133773786399068,0.058967670371841,0.0763855250935582,0.004266770134765,66.7700350990078,0.0,0.0470026557599285
O,0.0454084745173782,0.8169532636472874,0.059549340512583,0.073191888240867,0.0048970330818844,60.567602069649226,0.0,0.0454084745173782
P,0.1283206527108846,0.7274792832730498,0.0690397793698772,0.0691836718206192,0.0059766128255688,178.66146827581036,0.0,0.1283206527108846
Q,0.21643149361108,0.7215645509598807,0.0160254233587118,0.0417534249325838,0.0042251071377439,347.7794245615408,0.0,0.21643149361108
R,0.0003122935040003,0.9171908554549152,0.0312691622391261,0.0485872856189354,0.0026404031830225,275.59537689099886,0.0,0.0003122935040003
S,0.0297493090388152,0.8532504634670031,0.0616379796609472,0.051323620531635,0.0040386273015995,80.20168311454522,0.0,0.0297493090388152
T,0.2192714777736305,0.3025093327442347,0.1573792830134122,0.298258377633513,0.0225815288352097,11.801931966571567,0.0,0.2192714777736305
