formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0449133069897031,0.8437184711538283,0.062119846206993,0.0465187441591465,0.002729631490329,63.840808981734504,0.0,0.0449133069897031
B,0.1104303934951816,0.3194539991765036,0.4626130692250699,0.1075025381032451,0.0,24.377742189999587,0.0,0.1104303934951816
C,0.2324527699807377,0.0468357592448769,0.5136979953132154,0.2070134754611699,0.0,13.440373673101382,0.0,0.2324527699807377
D,0.4606900058638788,0.0117720122173521,0.036337643420914,0.4720580400065077,0.0191422984913472,6.43518820464453,0.0,0.4606900058638788
E,0.0848589144576578,0.7111878923103377,0.1294349677829509,0.0742086630699308,0.0003095623791224,11.45792781076665,0.0,0.0848589144576578
F,0.0452128512779604,0.4704903292690582,0.4614026483614242,0.0228161536190823,7.80174724746772e-05,45.80338384700869,4.6658602528957476e-07,0.0452123846919351
G,0.0014377745419212,0.0136554852307482,0.975664410858724,0.0014331324245772,0.0078091969440291,3.9287705768803005,0.0,0.0014377745419212
H,0.0887863745117454,0.5729580907670532,0.2472467879877693,0.0890219996884729,0.001986747044959,15.364105507611614,0.0,0.0887863745117454
I,0.019997494029851,0.7692930890338261,0.0677557424015983,0.1074867582265643,0.0354669163081601,63.07508731142371,0.0,0.019997494029851
J,0.0093399852576813,0.3111605617775579,0.1918242394670705,0.4692931387024142,0.0183820747952761,21.54879858569897,0.0,0.0093399852576813
K,0.0416212056773922,0.7906790566792574,0.1277062776664265,0.0377774871117077,0.0022159728652158,79.0406398169944,0.0008036715108115,0.0408175341665806
L,0.0124860755482007,0.9423439170403478,0.0259295949096222,0.0189831789466276,0.0002572335552018,176.47276636731218,0.0,0.0124860755482007
M,0.0398888827841375,0.8394892993873779,0.0654871139523966,0.0482257652671774,0.0069089386089105,56.644319574367906,0.0,0.0398888827841375
N,0.0468841817512812,0.8368917012932889,0.063521002188214,0.0501132719542681,0.0025898428129479,67.36633422071567,0.0,0.0468841817512812
O,0.0449856194657142,0.845078892235827,0.0618246581999466,0.0452706902314784,0.0028401398670336,62.53310498250655,0.0,0.0449856194657142
P,0.1358249758260906,0.7497524396598507,0.0648057087774252,0.0454977468624922,0.0041191288741411,205.43227375639586,0.0,0.1358249758260906
Q,0.2199298486158347,0.7386374177380316,0.0128121762163668,0.0257900189778216,0.0028305384519448,435.57722743917594,0.0,0.2199298486158347
R,4.522013182268685e-05,0.9410859150081152,0.0283802961584854,0.02891704700744,0.0015715216941371,340.56712789231614,0.0,4.522013182268685e-05
S,0.0326386065177954,0.8824081320157466,0.0516131855784097,0.0311981469045393,0.0021419289835088,88.66935026542254,0.0,0.0326386065177954
T,0.325516071112812,0.1773571349183114,0.1883683883690153,0.2872656810765918,0.0214927245232693,7.935975689073653,0.0,0.325516071112812
