formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0189027735719708,0.4677483044723646,0.0,2.0009625779470165e-05,0.5133289123298851,44.38700422148108,0.000492783675896,0.0184099898960748
B,0.2515413568955939,0.7472687749746052,0.001189868129801,0.0,0.0,27.513761475859994,0.0,0.2515413568955939
C,0.0905547875784161,0.9066631675404392,0.0,0.0,0.0027820448811449,22.82245266462949,1.0298569982903136e-05,0.0905444890084332
D,0.0171164903855364,0.6820668371861504,0.0,0.0,0.3008150092137434,59.011280324906394,0.0003775458268768,0.0167389445586596
E,0.0,0.8639924062756177,0.0,0.0,0.1360075937243824,1.94317918790802,0.0,0.0
F,0.006327277094594,0.8984023725930692,0.0158322014267815,5.5269233960020894e-05,0.0793828796515951,60.10759159382077,0.0,0.006327277094594
G,0.0008853365669174,0.9722531414396072,0.0,0.0,0.0268615219934756,69.78175477378481,0.0,0.0008853365669174
H,0.0271151991711325,0.9110475273140072,0.0,0.0,0.0618351987511365,46.08681265172061,0.0,0.0271151991711325
I,0.0043602525778857,0.2167101878681823,0.0,0.0216547198674479,0.7572748396864839,193.3642533983983,0.0010881794496698,0.0032720731282158
J,0.007078047996074,0.3685916767445074,0.0016479329969084,0.1409066885056803,0.4817756537568293,434.1792272023352,0.002631551723891,0.004446496272183
K,0.0189233138520431,0.568044962766598,0.0156261777481285,1.5490158127925822e-05,0.3973900554751026,57.04920177773805,0.0023999871349405,0.0165233267171025
L,0.0193983311364415,0.4917269821400307,0.0,3.825002041981074e-06,0.4888708617214858,36.4652203835938,0.000489249124589,0.0189090820118524
M,0.0238371538224498,0.5033534595745798,0.0,3.418689217568222e-05,0.4727751997107947,41.55974131310436,0.0008216512063786,0.0230155026160711
N,0.0167937087333155,0.438704130041731,0.0157174326780426,0.013630072065735,0.5151546564811756,48.80996214732768,0.0006052985465789,0.0161884101867366
O,0.0188192838205329,0.4647283293429848,0.0,1.994581759113362e-05,0.5164324410188911,43.9726565349598,0.0004983819324006,0.0183209018881323
P,0.0456068764931305,0.5303151173372161,0.0,2.586207355891231e-05,0.4240521440960945,79.11355615413028,0.0005680287368485,0.0450388477562819
Q,0.1628078327554166,0.7119471945562392,0.0,2.1840376443728295e-06,0.1252427886506992,210.60604539733941,0.0002255062506242,0.1625823265047923
R,0.015257744136968,0.4725715611328699,0.0,5.930158425463364e-05,0.5121113931459073,44.659881225343575,0.0007105977854573,0.0145471463515107
S,0.0120661224509963,0.4554245277948481,0.0,6.359602968520534e-05,0.5324388149105144,40.05909202122097,0.0005277610696126,0.0115383613813837
T,0.0175376339683581,0.3890554166199487,0.0,0.0003597043444333,0.5930472450672596,44.46297956397195,0.000140975952349,0.017396658016009
