formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0174758287908073,0.4782583039077409,0.0,2.1316456489898593e-05,0.5042445508449619,51.3341971308817,0.0005322350512546,0.0169435937395526
B,0.245484494839664,0.7528824757462186,0.0016330294141172,0.0,0.0,30.868501213926194,0.0,0.245484494839664
C,0.0802443934396404,0.9171543778682846,0.0,0.0,0.0026012286920748,27.550215419770947,5.459986326675179e-05,0.0801897935763737
D,0.0155142333135578,0.6877900971224175,0.0,0.0,0.2966936904772468,70.49464810157973,0.0003895243391892,0.0151247089743686
E,0.0,0.875499558912298,0.0,0.0,0.124500441087702,2.027615527722634,0.0,0.0
F,0.0063005628634295,0.899058698773068,0.0150159720527556,0.0001402785199043,0.0794844877908423,68.62719106428008,0.0,0.0063005628634295
G,0.0008938549634297,0.9733728966325932,0.0,0.0,0.0257332484039769,79.56265883550289,0.0,0.0008938549634297
H,0.0246183180966828,0.9102491100249492,0.0,0.0,0.0651291350087586,49.38205588428404,0.0,0.0246183180966828
I,0.004363147096679,0.2343559472168696,0.0,0.0231516910285126,0.7381292146579387,211.21370909527056,0.0011282558380165,0.0032348912586625
J,0.0064200724455778,0.4323316971701425,0.0018363628923476,0.1082999922352182,0.4511118752567139,365.2955687124561,0.0031730105086261,0.0032470619369516
K,0.0187198923852039,0.573828368855759,0.0147443678909115,1.6600428189151806e-05,0.3926907704399363,65.58629802512591,0.0023159349178477,0.0164039574673562
L,0.0168170139929593,0.5076106162403629,0.0,1.022726442415844e-05,0.4755621425022539,42.637868492292206,0.0005248425117683,0.0162921714811909
M,0.0211818335557587,0.5054518140726348,0.0,3.582268279574729e-05,0.4733305296888108,48.35290583977909,0.0007647796132721,0.0204170539424866
N,0.014867590167846,0.4568730583651578,0.0118432876847208,0.0111082116909786,0.5053078520912965,55.76920642291429,0.0005407063490515,0.0143268838187945
O,0.0164461630982446,0.4766296387265333,0.0,2.1358928995009857e-05,0.5069028392462271,50.59511883798439,0.0005407291487836,0.015905433949461
P,0.0367390003949334,0.5457547234193384,0.0,3.0441622400916656e-05,0.417475834563327,91.3247999874993,0.0005848386765752,0.0361541617183581
Q,0.1371506863057238,0.7350327732605769,0.0,3.8942698708223634e-06,0.1278126461638285,249.35945773019316,0.0002276649207245,0.1369230213849993
R,0.0144902836592836,0.4804116174348152,0.0,5.511920942654577e-05,0.5050429796964745,51.8913601016887,0.000738779151782,0.0137515045075015
S,0.01206322615253,0.4548797971645102,0.0,6.948215430936666e-05,0.532978651376063,46.30508738829805,0.0005454463505465,0.0115177798019835
T,0.0150055348279404,0.3911142790388362,0.0,0.0003692044839894,0.5935109816492334,49.10310398575011,0.0001538509972269,0.0148516838307135
