formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0301276370298547,0.339950062042552,0.5421588531228577,0.0731448108849424,0.014618636919794,260.88053391148895,0.0,0.0301276370298547
B,0.0664161907075444,0.4967938499456947,0.3944370796972765,0.0423298450781482,0.0,203.82056521915806,0.0,0.0664161907075444
C,0.0543279096670102,0.3164381978876318,0.5733963954674097,0.0558374969779485,0.0,231.71528655904444,0.0,0.0543279096670102
D,0.027865951527812,0.1696262579594619,0.7429307650322147,0.0572522481979773,0.0023247772825342,291.916763699389,0.0,0.027865951527812
E,0.0291317698826695,0.3400631650290078,0.5460775747764791,0.0718160152260115,0.0129114750858317,259.7613689014534,0.0,0.0291317698826695
F,0.0198581290814009,0.5890782354115701,0.340378616065417,0.0429451299469527,0.0077398894946599,436.24374594699873,0.0002555815527363,0.0196025475286645
G,0.0111798135330616,0.081114849563446,0.9025715773047208,0.0051279177592552,5.8418395164479105e-06,157.0130193216965,0.0,0.0111798135330616
H,0.0369949520599376,0.2821040717652585,0.6152588565274593,0.0620067248159362,0.0036353948314083,231.713782033444,0.0,0.0369949520599376
I,0.0235332172303006,0.4358745737729705,0.3943749932201275,0.0868592721083734,0.0593579436682279,362.51440915679837,0.0,0.0235332172303006
J,0.0069887806095856,0.1833509110051972,0.5639017618401152,0.1583975983364182,0.0873609482086834,250.22138092278888,1.194364483344755e-07,0.0069886611731373
K,0.0204849930317932,0.5898485670162521,0.3373422158380084,0.0436089123613152,0.0087153117526302,434.3210608801362,0.0006075868803683,0.0198774061514248
L,0.0206413812829676,0.2987966911981494,0.6147055265679902,0.0563963253346254,0.009460075616267,247.51504309004662,0.0,0.0206413812829676
M,0.0357683685472607,0.3706770545044236,0.4977933369165886,0.078107439318994,0.0176538007127324,289.24999719738776,0.0,0.0357683685472607
N,0.0274415557507412,0.3149939049583026,0.5794362476302757,0.0653195593220608,0.0128087323386192,239.18385412964508,0.0,0.0274415557507412
O,0.029494411097914,0.3332665061323532,0.5518389292505995,0.070942943309937,0.014457210209196,264.50114887480896,0.0,0.029494411097914
P,0.0620406540200334,0.341607706927404,0.4905387049099274,0.0832326827351692,0.0225802514074662,281.5491347146646,0.0,0.0620406540200334
Q,0.0814042409273918,0.3751893860189615,0.4370194642217768,0.0829243025134026,0.0234626063184673,305.54224793607153,0.0,0.0814042409273918
R,0.0113160314715537,0.4165847927961942,0.4600039329579494,0.087332493802991,0.0247627489713113,293.33484293566426,0.0,0.0113160314715537
S,0.019104171951657,0.3047219319646627,0.6179785151883431,0.0492393509378874,0.0089560299574496,390.2259228088235,0.0,0.019104171951657
T,0.0363354749894158,0.4242063658590256,0.4082908057897806,0.1054658060781595,0.0257015472836186,120.59992792707172,0.0,0.0363354749894158
