formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0376663866626256,0.3848783909946272,0.499090287050336,0.0668850141918738,0.0114799211005371,83.9253382679001,0.0,0.0376663866626256
B,0.0622423072421495,0.3965355086152768,0.5054802336801576,0.0357398335449391,0.0,75.9916495268005,0.0,0.0622423072421495
C,0.0469028412523261,0.1799702224591461,0.7285509547780642,0.0445759815104635,0.0,88.39204346458634,0.0,0.0469028412523261
D,0.0323275404530638,0.1080755563057323,0.8088074065469726,0.0480488131829572,0.0027406835112743,105.83341491936332,0.0,0.0323275404530638
E,0.0390001607873319,0.3819822075988425,0.5021224471401291,0.0670888722578757,0.0098063122158202,84.53249801279537,0.0,0.0390001607873319
F,0.0174555568272333,0.7596246150339793,0.1957432615958866,0.0237060281246061,0.0034705384182947,240.38022324831374,0.0002616209151796,0.0171939359120537
G,0.0173009922213051,0.0892116807451799,0.8863666505053498,0.0071180005559825,2.675972182520272e-06,47.351014615384955,0.0,0.0173009922213051
H,0.0445434933102409,0.2985530741926928,0.5972729299954083,0.0563622770114598,0.0032682254901979,70.55075007073337,0.0,0.0445434933102409
I,0.0326534742860506,0.4737658249055022,0.3762631820323169,0.0779850846175521,0.0393324341585781,111.90443001962186,0.0,0.0326534742860506
J,0.0041717259502123,0.1302079375181401,0.7249623992096919,0.1023225721852235,0.0383353651367324,57.84624442092959,3.4287467238987575e-08,0.0041716916627451
K,0.0166933238537207,0.7625983328955018,0.1931859865263006,0.0234905993628267,0.0040317573616501,237.18262859320254,0.0007121283237494,0.0159811955299713
L,0.0183095700932364,0.3372970434634389,0.5929259400957089,0.0450620977259415,0.0064053486216742,84.30076706413148,0.0,0.0183095700932364
M,0.0491509984296781,0.4557578628682115,0.414899247266684,0.0657648827751937,0.0144270086602325,105.99475495173611,0.0,0.0491509984296781
N,0.0345276282416212,0.3264624971910756,0.5652234829251098,0.0641414593091881,0.009644932333005,71.37733043829857,0.0,0.0345276282416212
O,0.0377967977446754,0.3846067202753908,0.4993491304353739,0.0667801904192512,0.0114671611253086,83.78119899353493,0.0,0.0377967977446754
P,0.1022312832266383,0.4004982623083216,0.4045298940338085,0.0742895983332249,0.0184509620980068,99.48841856534861,0.0,0.1022312832266383
Q,0.1094058018409067,0.4827882551254661,0.3154621310890825,0.074182692566527,0.0181611193780174,110.82157908526274,0.0,0.1094058018409067
R,0.000958243609955,0.5614537275524926,0.3380308319137031,0.0805560911507788,0.0190011057730699,104.92929725392847,0.0,0.000958243609955
S,0.0172506856996021,0.3103382910442872,0.640261780644396,0.0279984352584508,0.0041508073532642,222.53443565609382,0.0,0.0172506856996021
T,0.0339511744955435,0.5194471906864154,0.2252331266304151,0.1782384270615119,0.0431300811261138,11.93992684023337,0.0,0.0339511744955435
