formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0315263940726492,0.3858197272343357,0.490302876704742,0.0769750814130206,0.0153759205752523,114.19906427278589,0.0,0.0315263940726492
B,0.0615197333096686,0.5062371436454187,0.3867278647631997,0.0454846038088103,0.0,93.62731313657643,0.0,0.0615197333096686
C,0.0530442462012451,0.3018020732844867,0.5844294467630329,0.0607242337512351,0.0,101.58877765620261,0.0,0.0530442462012451
D,0.0304072624605257,0.1619709374053974,0.7403094083263533,0.0641777598972098,0.0031346319105139,122.6613019560842,0.0,0.0304072624605257
E,0.0306557263122671,0.3852811900109673,0.4941431432411045,0.076298703802382,0.0136212366332788,113.83541620486615,0.0,0.0306557263122671
F,0.0178318346924449,0.6723394395804995,0.2653598327042939,0.0377075804452994,0.0067613125774621,231.65850304086928,0.0002849178445943,0.0175469168478506
G,0.0149056917989362,0.1071999301478295,0.8715259361757993,0.0063596766084186,8.765269016609236e-06,64.53673535224857,0.0,0.0149056917989362
H,0.0373642883593567,0.3176025094512898,0.5731099514684911,0.0682174748667727,0.0037057758540896,98.38353491483161,0.0,0.0373642883593567
I,0.0239494203022233,0.4594874845018437,0.3701536527104453,0.0886378393097251,0.0577716031757622,152.89333571126136,0.0,0.0239494203022233
J,0.0047840965270534,0.16795541340306,0.6042301132510655,0.1469032513658741,0.0761271254529467,92.3206162436499,1.5702461197085922e-07,0.0047839395024415
K,0.0180316193856706,0.6740265804839309,0.2625438555324823,0.0378397523762187,0.0075581922216977,230.5849730353455,0.0007163424592795,0.0173152769263911
L,0.0179324584127291,0.3380578289278093,0.5731919632282699,0.0602218267145533,0.0105959227166379,107.38996328674301,0.0,0.0179324584127291
M,0.0387349060927916,0.4275072326827994,0.4355697204451829,0.0799576067888953,0.018230533990331,131.62199345436562,0.0,0.0387349060927916
N,0.0277132127743631,0.3501988696473136,0.5369861579929776,0.0714807590166685,0.0136210005686777,101.61627873173678,0.0,0.0277132127743631
O,0.0311093707671549,0.3813344903638406,0.4957669107696274,0.0762975266895916,0.0154917014097851,114.89757400590833,0.0,0.0311093707671549
P,0.0691550898493531,0.397577613517983,0.4226357658187512,0.0870401496772022,0.0235913811367101,128.50464509745987,0.0,0.0691550898493531
Q,0.0810200510798689,0.4488801379193836,0.3607235322436174,0.0851176449089695,0.0242586338481596,142.5679539408903,0.0,0.0810200510798689
R,0.006484221437598,0.498334540917811,0.3794100643661938,0.0903522305718341,0.0254189427065637,136.7964311016581,0.0,0.006484221437598
S,0.0179885360943733,0.3430416037477335,0.5850918130972672,0.0456583903531489,0.0082196567074773,197.69714907420484,0.0,0.0179885360943733
T,0.0323040689249428,0.4681453286999739,0.345927840135041,0.1234239593474951,0.0301988028925484,40.83884221675433,0.0,0.0323040689249428
