formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0327931449427965,0.3577728913558561,0.5264184323370928,0.0673686485148799,0.0156468828493749,173.48258819931723,0.0,0.0327931449427965
B,0.0695989886726164,0.5441512044933745,0.345652488028818,0.0405548693216315,0.0,135.98736310194096,0.0,0.0695989886726164
C,0.0597775383338385,0.3662789852041901,0.5193139158447718,0.0546295606172006,0.0,148.68726803333686,0.0,0.0597775383338385
D,0.0324896729426326,0.1967400958234728,0.7114253720386103,0.056891293659521,0.0024535655357631,183.40242904320533,0.0,0.0324896729426326
E,0.0321558454709377,0.3576862531351845,0.5296325481146346,0.0667445493412833,0.0137808039379597,172.5154136047483,0.0,0.0321558454709377
F,0.0221117442379868,0.5804200810894924,0.3470362626800582,0.0417673685396162,0.0086645434528465,277.2786902888005,0.0002678216473662,0.0218439225906205
G,0.0126372028331298,0.0915312841595938,0.8911850940533812,0.0046362117359798,1.0207217915404472e-05,102.34326543314926,0.0,0.0126372028331298
H,0.0398099603723332,0.297231524876883,0.6002714038684561,0.0590247418436188,0.0036623690387091,152.96279486389398,0.0,0.0398099603723332
I,0.0254830264324724,0.4392028029091967,0.3880820666917965,0.0808964642752872,0.0663356396912478,237.71884670793804,0.0,0.0254830264324724
J,0.0065383404394246,0.1908726885045611,0.5509855405799862,0.1567593178466,0.0948441126294288,164.70120248807984,2.471185585354476e-07,0.0065380933208661
K,0.022326145435124,0.5809049559566445,0.3449650812796506,0.0420402390591549,0.0097635782694261,275.94337608633094,0.000528656164387,0.021797489270737
L,0.0238955591085248,0.3317350377505607,0.5808132297502111,0.0526098519527707,0.010946321437932,165.93228119841623,0.0,0.0238955591085248
M,0.0367433529293708,0.3846881051681748,0.4862024983694961,0.073609551331365,0.0187564922015942,190.2325191351065,0.0,0.0367433529293708
N,0.030433685840323,0.3348271380432595,0.5605741759361706,0.0603506312125941,0.0138143689676519,159.52840178096264,0.0,0.030433685840323
O,0.0321842068981006,0.3479675954885115,0.5383183499049732,0.0660089202025482,0.0155209275058662,176.98072481417233,0.0,0.0321842068981006
P,0.0641765601862973,0.3621560319017469,0.4738737347414918,0.0763121186224258,0.0234815545480387,188.09572501824633,0.0,0.0641765601862973
Q,0.0816966627040841,0.3988263076824096,0.4206360965011038,0.0745332015501533,0.0243077315622493,205.03778456572513,0.0,0.0816966627040841
R,0.0145808288376174,0.4414212129698501,0.4404207255639291,0.0781961307330525,0.0253811018955501,197.44113716501712,0.0,0.0145808288376174
S,0.0216254299606814,0.3468441435418603,0.5763902466965375,0.0453790546099744,0.0097611251909469,258.99604185197387,0.0,0.0216254299606814
T,0.0398017585849383,0.4319623601998699,0.4173695031781111,0.0869558503671465,0.023910527669934,91.15166447630425,0.0,0.0398017585849383
