formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0403943884322208,0.7366384592883695,0.0811922006161408,0.1320258166957429,0.0097491349675268,95.01158627008095,0.0,0.0403943884322208
B,0.0943014387852999,0.3175518050151789,0.3736879893657253,0.2144587668337958,0.0,41.706659337116264,0.0,0.0943014387852999
C,0.1487617866005194,0.039790249555204,0.4456618464227942,0.3657861174214823,0.0,28.685826107208,0.0,0.1487617866005194
D,0.1987297104848313,0.0148519481880671,0.1382031688899401,0.6307528270330534,0.017462345404108,18.459981070332386,0.0,0.1987297104848313
E,0.0778714389045455,0.6561414569867585,0.1032044710826775,0.1608922739958582,0.0018903590301602,19.138673832466086,0.0,0.0778714389045455
F,0.0415346146870698,0.5021087883194303,0.3786563976499482,0.076851374404684,0.0008488249388676,76.32279957536441,2.797676653968012e-05,0.0415066379205301
G,0.0080634705019682,0.0473747613909665,0.9291763213994396,0.0056614297802591,0.0097240169273666,5.849177274904604,0.0,0.0080634705019682
H,0.0685281011128042,0.516556656565516,0.2087541972587391,0.2036017161712572,0.0025593288916833,27.92049933904515,0.0,0.0685281011128042
I,0.0179622302360996,0.5846555183591154,0.0633060440798408,0.2596348393357916,0.0744413679891522,113.479788047396,0.0,0.0179622302360996
J,0.0033106579858209,0.2443690457343838,0.1259092028959033,0.5915697784730457,0.0348413149108462,80.08019981927272,0.0,0.0033106579858209
K,0.0350047707839179,0.6940617805662435,0.1578739939853392,0.1052886913546498,0.0077707633098494,119.80955485921008,0.0004587110373891,0.0345460597465287
L,0.0138325231981512,0.8865810979031131,0.0312940817460858,0.065659566143219,0.0026327310094295,226.95172680175915,0.0,0.0138325231981512
M,0.0338124238459138,0.7390461774778838,0.0858197881145256,0.127755661551658,0.0135659490100191,79.0419323065279,0.0,0.0338124238459138
N,0.041991810627382,0.7400976591790851,0.076285504164112,0.1330845031202781,0.0085405229091424,104.7112234048575,0.0,0.041991810627382
O,0.0397661041050062,0.7383485147484686,0.0812801688024136,0.1306915002315518,0.0099137121125596,92.99995264591621,0.0,0.0397661041050062
P,0.1216017205303492,0.6683029135645654,0.0756811531830879,0.1220581358910785,0.012356076830919,250.44365673375725,0.0,0.1216017205303492
Q,0.221311382207667,0.671958237207121,0.0235298639012893,0.0746242398900266,0.0085762767938963,453.71870857737423,0.0,0.221311382207667
R,0.0001821956329747,0.8607757723192465,0.0397189048227015,0.0932260697678369,0.0060970574572401,348.6280472174439,0.0,0.0001821956329747
S,0.0268575175155345,0.7845662112025356,0.0765722719831912,0.1025584165758425,0.0094455827228958,107.67780216438922,0.0,0.0268575175155345
T,0.1196470262690919,0.3544010092239053,0.1718628988742214,0.3280670066248271,0.0260220590079539,33.53727098349979,0.0,0.1196470262690919
