formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0410850496735492,0.7849068820976045,0.0641599811306514,0.1027071845769124,0.007140902521283,146.45081704313947,0.0,0.0410850496735492
B,0.1080859957115665,0.3484806528291447,0.3574534401245266,0.1859799113347622,0.0,58.9638130436593,0.0,0.1080859957115665
C,0.1826028513252299,0.0456987223676353,0.4394222831526063,0.3322761431545283,0.0,38.10751700265225,0.0,0.1826028513252299
D,0.2637121944793852,0.0168366636281796,0.0918519368617838,0.6090934323714119,0.0185057726592392,22.812449514508963,0.0,0.2637121944793852
E,0.0765066101436561,0.7091076583828333,0.0924644620393079,0.1204246389812951,0.0014966304529074,28.794725559729976,0.0,0.0765066101436561
F,0.0383355138252243,0.5421248432234571,0.3630586848366156,0.0558803266542477,0.0006006314604552,118.03555071933769,2.65651063521543e-05,0.0383089487188721
G,0.0085044349970273,0.0579778948314895,0.919381217094578,0.0050174797596774,0.0091189733172275,8.055529283892508,0.0,0.0085044349970273
H,0.0723489822331023,0.6120484156955853,0.168563957135863,0.1448913640278103,0.0021472809076393,43.86327002309902,0.0,0.0723489822331023
I,0.0192416158751806,0.6627352063461489,0.0558803250787906,0.1990151892333121,0.0631276634665677,153.48422790250095,0.0,0.0192416158751806
J,0.0042643390360755,0.272845280244826,0.137476170612085,0.5557155340195561,0.029698676087457,78.12575910727578,0.0,0.0042643390360755
K,0.0351432402601174,0.7326738677903415,0.1458742388765661,0.0807016907177549,0.0056069623552198,187.46912273701432,0.000419063394238,0.0347241768658794
L,0.0153198419730136,0.9038733792858994,0.0255277287690555,0.0534970965423713,0.0017819534296594,347.754161984898,0.0,0.0153198419730136
M,0.0354820574371791,0.7893107894957836,0.0633788361206617,0.1009166022272658,0.0109117147191093,122.83906650703737,0.0,0.0354820574371791
N,0.0437621061640773,0.7842864725037682,0.0613891752207143,0.1044167411457026,0.0061455049657377,160.01394274977935,0.0,0.0437621061640773
O,0.0410018983042575,0.785320979665967,0.0644863407521359,0.101974545004321,0.0072162362733181,143.61470978508805,0.0,0.0410018983042575
P,0.1237406465067941,0.7129204111628465,0.0603348401124396,0.094330196540872,0.0086739056770478,399.04856288346684,0.0,0.1237406465067941
Q,0.2098849101116107,0.71127693689704,0.0160912464259475,0.0568778864362826,0.0058690201291191,751.9868135703026,0.0,0.2098849101116107
R,1.33112735623358e-05,0.8939223674286969,0.0314683408987572,0.0705608219119461,0.0040351584870375,577.347721208619,0.0,1.33112735623358e-05
S,0.0277270219938027,0.829757121109885,0.0556828090942233,0.0798868066876872,0.0069462411144011,165.23193735160328,0.0,0.0277270219938027
T,0.1615403778537704,0.3544708371832534,0.1484493060912546,0.3117297146153261,0.0238097642563953,39.31276838674619,0.0,0.1615403778537704
