formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0463290047781396,0.8589296129296358,0.0517270085390335,0.0407307025246254,0.0022836712285655,115.07687331567905,0.0,0.0463290047781396
B,0.1256002909710295,0.3863609149886295,0.4015254071354502,0.0865133869048907,0.0,41.05340356875332,0.0,0.1256002909710295
C,0.2592132593187632,0.0590776944427157,0.4969795775990338,0.184729468639487,0.0,21.564433480294927,0.0,0.2592132593187632
D,0.5319049203198849,0.0183699520095025,0.0182719176555047,0.4162691354709566,0.015184074544151,10.27732634681725,0.0,0.5319049203198849
E,0.0872128120654853,0.7619333074508852,0.1033103460007861,0.0469511067050142,0.0005924277778292,21.039776154363757,0.0,0.0872128120654853
F,0.0427887493778163,0.531702558849419,0.3999994783456762,0.0252839175124999,0.0002252959145883,90.30021635792738,2.8128208975332372e-05,0.0427606211688409
G,0.0054999937376066,0.0515727730548209,0.9371629517692583,0.0017074494674035,0.0040568319709104,6.050049747043145,0.0,0.0054999937376066
H,0.0878642999325845,0.6706928111896052,0.1825540176365831,0.0576400267441451,0.0012488444970823,31.096521159574067,0.0,0.0878642999325845
I,0.0219104370258418,0.7928863866396165,0.0610942336529759,0.0890827793063273,0.0350261633752384,99.16692493581907,0.0,0.0219104370258418
J,0.0074167962664894,0.3499577043741287,0.2143872353326613,0.4139769899073037,0.0142612741194166,26.692231296846867,0.0,0.0074167962664894
K,0.0410915583217767,0.7960240718895498,0.1288942748081883,0.0321879954043262,0.0018020995761587,146.5734576898302,0.0008468158305861,0.0402447424911906
L,0.0141801828131071,0.9427784427847508,0.0214999248549142,0.0211174491814114,0.0004240003658157,302.5565450671403,0.0,0.0141801828131071
M,0.0404925039451907,0.8602507237488797,0.0515227031965314,0.0411941052139731,0.0065399638954251,99.40066364628709,0.0,0.0404925039451907
N,0.0480549819447918,0.855553851979508,0.0518849867482462,0.0426010945147844,0.0019050848126693,122.40621113915812,0.0,0.0480549819447918
O,0.0463289834196573,0.8590063783366422,0.051817163183462,0.0405549192532531,0.0022925558069852,112.90175244830422,0.0,0.0463289834196573
P,0.1333511851806518,0.7713458214967025,0.0541597688349474,0.0384730783909581,0.0026701460967398,342.5054924944072,0.0,0.1333511851806518
Q,0.2120861846677645,0.7522039374633831,0.0106057462191777,0.0235389361733796,0.0015651954762947,696.4290632990153,0.0,0.2120861846677645
R,2.202119155348927e-05,0.9462742762361456,0.0254981369943512,0.0272480556415663,0.0009575099363833,543.143333624846,0.0,2.202119155348927e-05
S,0.032220775408194,0.8930090923730446,0.0435046077726895,0.0292279642832118,0.0020375601628599,146.69056032484534,0.0,0.032220775408194
T,0.3726007061679683,0.2728133174136137,0.1180702808024895,0.219626316203778,0.0168893794121503,12.309669373719977,0.0,0.3726007061679683
