formation channel,channel V intrinsic (z=0),channel I intrinsic (z=0),channel II intrinsic (z=0),channel III intrinsic (z=0),channel IV intrinsic (z=0),All intrinsic (z=0) [Gpc^-3 yr^-1],channel V with CE intrinsic (z=0),channel V without CE intrinsic (z=0)
A,0.0343833301831988,0.3769852753592402,0.5045715059927312,0.067233346976496,0.0168265414883332,737.8238557562054,0.0,0.0343833301831988
B,0.0736032949982087,0.5988355607973158,0.285346580599923,0.0421614315459207,0.0,574.1489222830521,0.0,0.0736032949982087
C,0.0646266617926143,0.4116692605440841,0.4640887961506411,0.0596152815126598,0.0,593.0997803165114,0.0,0.0646266617926143
D,0.0353514034949704,0.205718954536143,0.6944703342335348,0.0616348032264907,0.0028245045088601,732.1914329912221,0.0,0.0353514034949704
E,0.0345372140489542,0.3771488099661933,0.506490999814438,0.0668237792761873,0.0149991968942266,732.0882636119859,0.0,0.0345372140489542
F,0.0242342107652481,0.5558681412350638,0.3648576661015861,0.0448840708233011,0.0101559110748004,1099.3735566164607,0.0003531950448575,0.0238810157203906
G,0.014786029985131,0.1139980900932074,0.8664583956699098,0.0047413331196061,1.6151132146121738e-05,426.61331219263604,0.0,0.014786029985131
H,0.0416182451121357,0.3301610863424318,0.5642211432509185,0.0604161817070456,0.0035833435874682,662.2666089222208,0.0,0.0416182451121357
I,0.0266850972228812,0.4399656334884975,0.3843715302739875,0.077523136811852,0.0714546022027817,973.2086044732541,0.0,0.0266850972228812
J,0.0095638942525101,0.2175623799646374,0.5002531231457481,0.1686201227140853,0.1040004799230194,732.7637320296759,3.161821596134797e-07,0.0095635780703505
K,0.0238981465414306,0.5557976178658864,0.364087812752515,0.0449642251181204,0.0112521977220476,1095.104240259813,0.0003702767423325,0.0235278697990981
L,0.0275276890011602,0.3399253634307372,0.5627871673465036,0.0558841889600494,0.013875591261549,674.8002492197952,0.0,0.0275276890011602
M,0.0360078607008598,0.4007780579243477,0.4668587084120777,0.0761260940597235,0.0202292789029916,801.5563955732259,0.0,0.0360078607008598
N,0.0314112188817518,0.3545247559188513,0.5393738170014424,0.0596546604270103,0.0150355477709436,675.9578191937909,0.0,0.0314112188817518
O,0.0336318490714711,0.3624724112754892,0.5212571271693068,0.0659334558412875,0.0167051566424458,758.6388943823318,0.0,0.0336318490714711
P,0.058362632118238,0.3899574246828771,0.4517800687890727,0.0754739027141845,0.0244259716956264,800.0488500889496,0.0,0.058362632118238
Q,0.0716839605757397,0.4211853185585402,0.408772833026272,0.0731831259122663,0.0251747619271821,867.1566276504172,0.0,0.0716839605757397
R,0.0175426889980401,0.4519585993457632,0.4277085575370081,0.0766178107774769,0.0261723433417121,835.9075405536325,0.0,0.0175426889980401
S,0.0263298108310198,0.3585763158440579,0.5427442451246494,0.0583114312189066,0.0140381969813653,861.6867419279886,0.0,0.0263298108310198
T,0.0418402856046125,0.4171635322949915,0.4405320051880839,0.0785976347647707,0.0218665421475409,423.87253815105106,0.0,0.0418402856046125
